,Volume3d (mm^3) ,BaryCenterX (mm) ,BaryCenterY (mm) ,BaryCenterZ (mm) ,Anisotropy,Elongation,Flatness,Sphericity,Component 1,Component 2,PcaClusters
0,91.7529,-1249.26,-1243.58,-1685.28,0.545994,0.731435,0.620706,0.40197539136884,1.6978428303850053,-0.21790518363693645,0
1,33.2852,-1241.94,-1257.46,-1686.12,0.946436,0.566783,0.0945057,0.2858160819930612,-2.282130237318663,-1.1854569843887246,2
2,26.8576,-1246.98,-1235.86,-1648.17,0.862477,0.343091,0.400835,0.2224750246521773,-2.0589650638096915,0.8097285602446793,2
3,20.5755,-1249.24,-1250.28,-1680.69,0.844642,0.736602,0.210912,0.3851558951748447,-0.6608380931915654,-1.6587386409848974,2
4,17.9376,-1242.87,-1249.47,-1647.25,0.710594,0.471159,0.614242,0.4647054825121112,0.6846830582781107,0.4027326631488391,1
5,16.3607,-1242.33,-1241.74,-1672.22,0.683479,0.728257,0.434628,0.4067991863382357,0.6733107586461671,-0.890013256730297,0
6,15.9622,-1250.49,-1253.48,-1647.87,0.915116,0.533545,0.159094,0.2814068513850346,-2.092232200798364,-0.8317282002702591,2
7,14.6602,-1246.1,-1253.38,-1647.34,0.829125,0.580816,0.294198,0.3682806189592358,-0.8332829546308341,-0.7799742208398676,2
8,13.0533,-1242.26,-1242.44,-1656.54,0.879854,0.469435,0.255937,0.4360634476733095,-1.0250382492826653,-0.7300426305043964,2
9,10.3501,-1248.31,-1236.5,-1669.5,0.921533,0.143478,0.546894,0.2752986435267016,-2.176496575524502,1.7844203788968815,1
10,8.95478,-1253.67,-1245.79,-1653.29,0.576112,0.685689,0.618192,0.3332955990527547,1.0819055065226664,0.11940239107561948,0
11,8.92676,-1238.8,-1243.5,-1694.4,0.727436,0.507876,0.536674,0.4373316103736896,0.37359158924873753,0.09949121056010808,1
12,8.88406,-1249.25,-1247.77,-1642.17,0.90244,0.440442,0.221506,0.351361569342311,-1.721754248229421,-0.49947993241836497,2
13,7.93679,-1246.28,-1258.04,-1704.39,0.659225,0.436857,0.780061,0.4183352743964916,0.9514950160849537,1.2093338912352174,1
14,7.68155,-1243.48,-1237.58,-1700.09,0.653133,0.897681,0.386404,0.4611568478410415,1.3688041675760751,-1.7876730038612902,0
15,7.66186,-1250.74,-1235.09,-1684.7,0.774547,0.504971,0.446467,0.4740084908499146,0.1527616798107616,-0.3083694645980646,1
16,7.34728,-1246.31,-1246.13,-1632.26,0.760817,0.410703,0.582374,0.3970833108915352,-0.1135887813436619,0.6854715208345987,1
17,7.21237,-1252.95,-1254.74,-1655.43,0.689416,0.492984,0.630009,0.4367711111570128,0.7143287189104534,0.46914566947811254,1
18,6.62224,-1242.13,-1246.93,-1640.83,0.634963,0.751623,0.485666,0.4452603505483127,1.2678176508962389,-0.8957181380312036,0
19,6.2947,-1240.84,-1263.09,-1651.64,0.865093,0.776438,0.173751,0.2878493544995437,-1.2759528017436963,-1.6463741232887787,2
20,5.89764,-1244.54,-1255.74,-1710.84,0.829724,0.435371,0.391106,0.3525560862361693,-1.0269737822797573,0.08898430441023761,2
21,5.28574,-1239.48,-1240.81,-1690.08,0.581758,0.830677,0.503495,0.5132385085502215,2.0924845525840934,-1.2877938951688446,0
22,4.6317,-1243.95,-1239.1,-1718.04,0.672928,0.458126,0.713935,0.2658713485122952,-0.027211694522115394,1.3654073118638552,1
23,4.54911,-1255.74,-1254.75,-1682.54,0.865695,0.407334,0.329718,0.330482987338885,-1.50421012451252,0.040333368225046254,2
24,4.41127,-1249.54,-1251.0,-1659.77,0.834226,0.816492,0.203032,0.4648002521258877,-0.02996312437391927,-2.196974567688999,2
25,4.41078,-1250.08,-1242.98,-1692.35,0.704941,0.549064,0.537386,0.4068656476613647,0.405602468615973,0.057971749478396645,1
26,4.35457,-1248.8,-1236.92,-1659.93,0.860182,0.373133,0.374713,0.4666449835820007,-0.7234521711042162,-0.09227255466070444,2
27,4.29861,-1246.59,-1259.04,-1700.3,0.835986,0.582133,0.281746,0.3854172640968482,-0.7968328826597538,-0.8780572547528961,2
28,3.96669,-1258.76,-1241.9,-1660.31,0.844622,0.397731,0.390662,0.4668709588852074,-0.5628697496011109,-0.12161920899371487,2
29,3.93184,-1245.12,-1251.67,-1720.93,0.762504,0.438761,0.541288,0.3535570522738662,-0.3818813746551471,0.5837911924263561,1
30,3.81267,-1244.52,-1260.98,-1642.87,0.725098,0.320377,0.858059,0.4374336891127884,0.6540964665840977,1.768314511124885,1
31,3.78774,-1241.94,-1250.38,-1692.12,0.611398,0.448885,0.865705,0.3223688802178634,0.8661913010531832,1.7442647788629566,1
32,3.77993,-1242.0,-1238.74,-1707.79,0.695506,0.664178,0.458453,0.4919564358097297,0.9885813077920204,-0.8430862489832672,0
33,3.77555,-1253.11,-1258.99,-1656.91,0.850787,0.802736,0.18588,0.2989480282644765,-1.0671304270517066,-1.7263295741128615,2
34,3.76338,-1243.94,-1250.42,-1658.96,0.953142,0.418185,0.11205,0.3744877366411124,-2.1132751148998086,-0.8597831739403462,2
35,3.69774,-1241.86,-1229.2,-1677.79,0.720305,0.672665,0.415802,0.503935421659837,0.8639305337483494,-1.0575338854727674,0
36,3.67487,-1246.23,-1262.35,-1693.04,0.932558,0.179349,0.376037,0.278843810036449,-2.487488419649008,1.1099576877015038,2
37,3.59098,-1246.59,-1255.05,-1703.97,0.819148,0.29344,0.616318,0.5070869775640545,0.02226270512270854,0.8505138071243675,1
38,3.52142,-1243.85,-1236.87,-1679.57,0.517411,0.502822,0.959761,0.315010252264907,1.5852384051628932,1.9267166674544627,1
39,3.49778,-1242.19,-1251.14,-1719.53,0.771288,0.324183,0.705503,0.4497332180323918,0.19180312351083054,1.215897819069273,1
40,3.40947,-1251.24,-1249.27,-1691.72,0.902224,0.318215,0.307265,0.4033574980244498,-1.5209088090908527,0.053719809682130804,2
41,3.29732,-1238.79,-1256.13,-1666.18,0.781935,0.729596,0.298884,0.2815447073545834,-0.751179758793457,-1.0153025685314219,2
42,3.27911,-1241.48,-1261.59,-1665.07,0.634087,0.672624,0.544008,0.5573641908291039,1.8299914650913998,-0.7584335676368448,0
43,3.26787,-1243.36,-1252.27,-1720.55,0.425066,0.917335,0.626743,0.5132637590282426,3.281326793965485,-1.1113643193744591,0
44,3.26179,-1253.06,-1248.07,-1662.94,0.634221,0.593536,0.616271,0.4158679955944079,1.049889775854643,0.16371396476951897,0
